name,neighbourhood_cleansed,room_type,price,review_scores_rating,number_of_reviews,latitude,longitude,minimum_nights,accommodates
Private Designer Room Florence city center,Centro Storico,Private room,$97.00,4.81,487,43.77941,11.25728,3,2
The Heart's Cradle,Centro Storico,Entire home/apt,,4.54,39,43.77395,11.26062,3,2
Attic flat in the center - Florence,Centro Storico,Entire home/apt,$74.00,4.54,114,43.77926,11.25767,2,2
CondottaSuite14♥Piazza Signoria♥,Centro Storico,Entire home/apt,$288.00,4.92,494,43.770243184337794,11.25558623176342,3,4
The House of Galileo Galilei,Centro Storico,Entire home/apt,$98.00,4.6,728,43.7684,11.24625,3,2
The gateway to Florence and Tuscany,Rifredi,Entire home/apt,$68.00,4.9,99,43.79349,11.23959,31,4
Monolocale in centro città x 5 pax,Centro Storico,Entire home/apt,,4.33,6,43.77959,11.24432,31,5
Gemini studios  3 pax,Centro Storico,Entire home/apt,,4.37,28,43.77961,11.24435,31,3
Il Duca di Firenze Apartment,Centro Storico,Entire home/apt,$77.00,4.56,54,43.77398,11.26274,31,3
Jasmine house,Campo di Marte,Entire home/apt,,5.0,9,43.77879,11.28799,2,4
Acacia Firenze - Peonia,Centro Storico,Entire home/apt,$133.00,4.76,80,43.76918,11.26233,2,2
"Tuscan Villa, shared Pool Parking 3km@Uffizi",Gavinana Galluzzo,Entire home/apt,"$1,080.00",4.7,47,43.75589,11.27877,2,12
Monolocale Centralissimo A/C Duomo Piazza Signoria,Centro Storico,Entire home/apt,$111.00,4.55,20,43.77109,11.25798,2,3
"lovely lovely room in Florence,",Campo di Marte,Private room,$90.00,4.9,10,43.77983,11.27823,7,1
Elegant apartment in Florence,Campo di Marte,Entire home/apt,$120.00,4.67,146,43.77502,11.28661,3,5
Charming and Cozy House in Florence,Isolotto Legnaia,Entire home/apt,$80.00,4.76,511,43.77048,11.21016,2,5
"Romantico monolocale, posto auto 2",Campo di Marte,Entire home/apt,$90.00,4.8,172,43.79593,11.27576,5,4
